time;state;goal
4,99;0,657461;1
5;0,657611;1
5,01;0,65776;1
5,02;0,657909;1
5,03;0,658059;1
5,04;0,658208;1
5,05;0,658357;1
5,06;0,658507;1
5,07;0,658655;1
5,08;0,658804;1
5,09;0,658953;1
5,1;0,659101;1
5,11;0,659248;1
5,12;0,659396;1
5,13;0,659543;1
5,14;0,659689;1
5,15;0,659835;1
5,16;0,659981;1
5,17;0,660126;1
5,18;0,66027;1
5,19;0,660413;1
5,2;0,660556;1
5,21;0,660699;1
5,22;0,66084;1
5,23;0,660981;1
5,24;0,661121;1
5,25;0,66126;1
5,26;0,661399;1
5,27;0,661536;1
5,28;0,661673;1
5,29;0,661809;1
5,3;0,661944;1
5,31;0,662078;1
5,32;0,66221;1
5,33;0,662342;1
5,34;0,662473;1
5,35;0,662603;1
5,36;0,662732;1
5,37;0,662859;1
5,38;0,662986;1
5,39;0,663111;1
5,4;0,663235;1
5,41;0,663359;1
5,42;0,663481;1
5,43;0,663601;1
5,44;0,663721;1
5,45;0,663839;1
5,46;0,663956;1
5,47;0,664072;1
5,48;0,664187;1
5,49;0,6643;1
5,5;0,664412;1
5,51;0,664523;1
5,52;0,664632;1
5,53;0,66474;1
5,54;0,664847;1
5,55;0,664953;1
5,56;0,665057;1
5,57;0,665159;1
5,58;0,665261;1
5,59;0,665361;1
5,6;0,66546;1
5,61;0,665557;1
5,62;0,665653;1
5,63;0,665748;1
5,64;0,665841;1
5,65;0,665933;1
5,66;0,666023;1
5,67;0,666112;1
5,68;0,6662;1
5,69;0,666286;1
5,7;0,666371;1
5,71;0,666454;1
5,72;0,666536;1
5,73;0,666617;1
5,74;0,666696;1
5,75;0,666774;1
5,76;0,66685;1
5,77;0,666926;1
5,78;0,666999;1
5,79;0,667072;1
5,8;0,667142;1
5,81;0,667212;1
5,82;0,66728;1
5,83;0,667347;1
5,84;0,667412;1
5,85;0,667476;1
5,86;0,667539;1
5,87;0,6676;1
5,88;0,66766;1
5,89;0,667719;1
5,9;0,667776;1
5,91;0,667832;1
